Número por área,Área,Complexidade,Tarefa,Condição,Área
290,Conheciemnto Geral,Baixa,O dia de amanhã é o dia que veio antes de ontem,0,Controle
291,Conheciemnto Geral,Baixa,O dia de ontem é o dia que virá depois de amanhã,0,Controle
292,Conheciemnto Geral,Baixa,O Brasil é conhecido por ser uma pequena ilha localizada na Europa,0,Controle
293,Conheciemnto Geral,Baixa,As capitais dos países são sempre consideradas pequenas e simples vilas,0,Controle
294,Conheciemnto Geral,Baixa,"O Sol, nossa estrela, costuma girar em torno da Lua todos os dias",0,Controle
295,Conheciemnto Geral,Baixa,Aeroportos modernos são locais especialmente construídos para as pessoas nadarem,0,Controle
296,Conheciemnto Geral,Baixa,Restaurantes sofisticados são estabelecimentos que geralmente vendem carros novos,0,Controle
297,Conheciemnto Geral,Baixa,Hospitais são grandes lugares construídos para as pessoas se divertirem,0,Controle
298,Conheciemnto Geral,Baixa,Escolas e colégios são lugares destinados para as pessoas dormirem,0,Controle
299,Conheciemnto Geral,Baixa,Livrarias populares são lojas especializadas que vendem muitos carros usados,0,Controle
300,Conheciemnto Geral,Baixa,Ruas e estradas são vias usadas para se plantar grandes árvores,0,Controle
