Número por área,Eixo (SAEB),Área,Complexidade,Tarefa,Condição,Número,UID
15.0,,Controle,Baixa,A madeira utilizada em móveis geralmente vem de árvores,1,,254
16.0,,Controle,Baixa,Peixes são animais aquáticos que geralmente vivem na água,1,,255
17.0,,Controle,Baixa,Diamantes lapidados são considerados pedras muito preciosas,1,,256
18.0,,Controle,Baixa,A Páscoa é uma data que envolve ovos de chocolate,1,,257
19.0,,Controle,Baixa,O leão é popularmente conhecido como o rei da selva,1,,258
20.0,,Controle,Baixa,O vidro comum das janelas é geralmente transparente,1,,259
21.0,,Controle,Baixa,O Dia das Mães é uma tradicional celebração familiar,1,,260
22.0,,Controle,Baixa,Muitas espécies de macacos vivem no alto das árvores,1,,261
23.0,,Controle,Baixa,O sal de cozinha tem um sabor caracteristicamente salgado,1,,262
24.0,,Controle,Baixa,O outono é a estação do ano após o verão,1,,263
25.0,,Controle,Baixa,Pinguins são aves adaptadas para viver em regiões geladas,1,,264
26.0,,Controle,Baixa,A borracha natural é um material que vem da seringueira,1,,265
27.0,,Controle,Baixa,O Ano Novo é uma celebração realizada em janeiro,1,,266
28.0,,Controle,Baixa,Cobras se movem pelo chão rastejando rapidamente,1,,267
29.0,,Controle,Baixa,A Terra é o planeta conhecido como o lugar onde vivemos,1,,268
30.0,,Controle,Baixa,Coelhos são animais que gostam de comer cenouras,1,,269
31.0,,Controle,Baixa,Golfinhos emitem diferentes sons para poder se comunicar,1,,270
32.0,,Controle,Baixa,O vinagre comum é bastante usado para temperar saladas,1,,271
33.0,,Controle,Baixa,A primavera é a estação do ano antes do verão,1,,272
34.0,,Controle,Baixa,Ursos selvagens vivem em regiões de florestas e montanhas,1,,273
35.0,,Controle,Baixa,Formigas operárias costumam andar organizadas em fileiras,1,,274
36.0,,Controle,Baixa,O Halloween é uma festa popular celebrada em outubro,1,,275
37.0,,Controle,Baixa,Sapos emitem um som característico chamado coaxar,1,,276
38.0,,Controle,Baixa,Tigres são felinos que possuem listras escuras na pelagem,1,,277
39.0,,Controle,Baixa,A África é reconhecida como um extenso continente,1,,278
40.0,,Controle,Baixa,Zebras são animais conhecidos por terem listras pretas e brancas,1,,279
41.0,,Controle,Baixa,O verão é uma estação do ano tipicamente quente,1,,280
42.0,,Controle,Baixa,Lobos são animais que costumam viver em matilhas,1,,281
43.0,,Controle,Baixa,A lã usada em roupas quentes vem de ovelhas,1,,282
44.0,,Controle,Baixa,O Dia do Trabalho é um feriado celebrado em maio,1,,283
45.0,,Controle,Baixa,Corujas são aves conhecidas por suas atividades noturnas,1,,284
46.0,,Controle,Baixa,O papel usado pode ser coletado e depois reciclado,1,,285
47.0,,Controle,Baixa,Aniversários são datas consideradas celebrações muito pessoais,1,,286
48.0,,Controle,Baixa,O chocolate tradicional é um doce que vem do cacau,1,,287
49.0,,Controle,Baixa,Feriados nacionais são geralmente estabelecidos como dias de folga,1,,288
50.0,,Controle,Baixa,Esquilos são roedores que costumam guardar nozes para o inverno,1,,289
51.0,,Controle,Baixa,Focas são animais que vivem em regiões polares e costeiras,1,,290
52.0,,Controle,Baixa,Existem muitos países diferentes espalhados pela superfície da Terra,1,,291
53.0,,Controle,Baixa,O pão caseiro é geralmente feito utilizando farinha de trigo,1,,292
54.0,,Controle,Baixa,Cachorros costumam latir para se comunicar ou alertar,1,,293
55.0,,Controle,Baixa,O ouro puro encontrado na natureza tem cor amarela,1,,294
56.0,,Controle,Baixa,Muitos golfinhos vivem agrupados em oceanos e mares,1,,295
57.0,,Controle,Baixa,Gatos demonstram contentamento quando começam a ronronar,1,,296
58.0,,Controle,Baixa,O carvão mineral é uma rocha de cor preta,1,,297
59.0,,Controle,Baixa,Cobras passam por um processo de troca de pele,1,,298
60.0,,Controle,Baixa,Zebras selvagens vivem em grandes planícies chamadas savanas,1,,299
61.0,,Controle,Baixa,Limões frescos geralmente têm um sabor bastante azedo,1,,300
62.0,,Controle,Baixa,A primavera é a estação que vem depois do inverno,1,,301
63.0,,Controle,Baixa,Alguns ursos hibernam durante os meses frios do inverno,1,,302
64.0,,Controle,Baixa,O algodão natural é conhecido por ser muito macio,1,,303
65.0,,Controle,Baixa,Aniversários são frequentemente comemorados com um bolo festivo,1,,304
66.0,,Controle,Baixa,O plástico aquecido pode ser facilmente moldado em formas,1,,305
67.0,,Controle,Baixa,Gorilas são primatas conhecidos por serem bastante fortes,1,,306
68.0,,Controle,Baixa,Museus de história geralmente exibem artefatos antigos e valiosos,1,,307
69.0,,Controle,Baixa,Esquilos são ágeis e costumam subir em árvores rapidamente,1,,308
70.0,,Controle,Baixa,Leões emitem um som alto e forte chamado rugido,1,,309
71.0,,Controle,Baixa,Patos são aves aquáticas que sabem nadar muito bem,1,,310
72.0,,Controle,Baixa,Formigas são conhecidas por serem insetos muito trabalhadores,1,,311
73.0,,Controle,Baixa,A maioria dos cachorros possui quatro patas para locomoção,1,,312
74.0,,Controle,Baixa,A maioria das espécies de aves põe ovos em ninhos,1,,313
75.0,,Controle,Baixa,As flores coloridas geralmente possuem pétalas delicadas,1,,314
76.0,,Controle,Baixa,As árvores se fixam no solo através de suas raízes,1,,315
77.0,,Controle,Baixa,Borboletas adultas são insetos que podem voar longas distâncias,1,,316
78.0,,Controle,Baixa,Coelhos domésticos possuem orelhas compridas e muito sensíveis,1,,317
79.0,,Controle,Baixa,Ovelhas são animais criados por sua lã peluda,1,,318
80.0,,Controle,Baixa,Muitos passarinhos constroem ninhos para proteger seus filhotes,1,,319
81.0,,Controle,Baixa,Vacas leiteiras são criadas para produzir o leite consumido,1,,320
82.0,,Controle,Baixa,Cenouras são raízes comestíveis consideradas como vegetais comuns,1,,321
83.0,,Controle,Baixa,Golfinhos são mamíferos marinhos conhecidos por serem inteligentes,1,,322
84.0,,Controle,Baixa,Minhocas são animais que geralmente vivem embaixo do solo,1,,323
85.0,,Controle,Baixa,Girafas são animais facilmente reconhecidas por seus pescoços longos,1,,324
86.0,,Controle,Baixa,O trigo moído é o principal ingrediente para fazer pão,1,,325
87.0,,Controle,Baixa,Muitas espécies de aranha são capazes de tecer uma teia,1,,326
88.0,,Controle,Baixa,Gafanhotos são insetos conhecidos por seus grandes saltos,1,,327
89.0,,Controle,Baixa,Morcegos são mamíferos voadores com hábitos geralmente noturnos,1,,328
90.0,,Controle,Baixa,O fogo aceso produz luz e é muito quente,1,,329
91.0,,Controle,Baixa,Chá é uma bebida que pode ser servida quente ou fria,1,,330
92.0,,Controle,Baixa,O ar que respiramos é normalmente invisível aos nossos olhos,1,,331
93.0,,Controle,Baixa,Refrigerante em garrafa geralmente borbulha bastante quando aberto,1,,332
94.0,,Controle,Baixa,Canetas esferográficas são comumente usadas para escrever em papel,1,,333
95.0,,Controle,Baixa,Tesouras escolares são usadas para cortar papel e cartolina,1,,334
96.0,,Controle,Baixa,Blocos de gelo retirados do congelador são muito frios,1,,335
97.0,,Controle,Baixa,"O vidro comum quebra facilmente, por isso é frágil",1,,336
98.0,,Controle,Baixa,Uma cadeira é um móvel que serve para sentar,1,,337
99.0,,Controle,Baixa,Copos de vidro ou plástico são usados para beber líquidos,1,,338
100.0,,Controle,Baixa,Livros impressos contêm muitas páginas com textos ou imagens,1,,339
101.0,,Controle,Baixa,Escadas fixas ou móveis servem para subir a lugares altos,1,,340
102.0,,Controle,Baixa,Sabão em contato com a água geralmente produz espuma,1,,341
103.0,,Controle,Baixa,Pneus de carro ou bicicleta são feitos de borracha resistente,1,,342
104.0,,Controle,Baixa,Janelas de vidro são geralmente bastante transparentes à luz,1,,343
105.0,,Controle,Baixa,Moedas de metal são usadas como forma de dinheiro,1,,344
106.0,,Controle,Baixa,Luvas de tecido ou couro são usadas para proteger as mãos,1,,345
107.0,,Controle,Baixa,Balões cheios de hélio podem flutuar no ar por um tempo,1,,346
108.0,,Controle,Baixa,Chaveiros são pequenos objetos usados para segurar um conjunto de chaves,1,,347
109.0,,Controle,Baixa,Espelhos planos e limpos refletem imagens com bastante nitidez,1,,348
110.0,,Controle,Baixa,As pessoas precisam comer alimentos para poderem viver bem,1,,349
111.0,,Controle,Baixa,O período do dia sempre vem antes do período da noite,1,,350
112.0,,Controle,Baixa,"A noite, na ausência de luz artificial, é geralmente escura",1,,351
113.0,,Controle,Baixa,As pessoas costumam dormir durante a noite para descansar,1,,352
114.0,,Controle,Baixa,A maioria das pessoas em sociedade usa algum tipo de roupa,1,,353
115.0,,Controle,Baixa,A chuva é formada por gotas de água que caem do céu,1,,354
116.0,,Controle,Baixa,O vento forte pode balançar as árvores e levantar poeira,1,,355
117.0,,Controle,Baixa,A voz humana é capaz de produzir uma variedade de sons,1,,356
118.0,,Controle,Baixa,Bebês pequenos frequentemente choram para expressar suas necessidades,1,,357
119.0,,Controle,Baixa,Crianças pequenas geralmente gostam muito de brincar juntas,1,,358
120.0,,Controle,Baixa,Muitos adultos em idade ativa trabalham em diversas profissões,1,,359
121.0,,Controle,Baixa,As estrelas distantes geralmente aparecem visíveis no céu à noite,1,,360
122.0,,Controle,Baixa,A Lua é um astro que brilha no céu noturno,1,,361
123.0,,Controle,Baixa,A fumaça de uma fogueira costuma subir em direção ao céu,1,,362
124.0,,Controle,Baixa,O barulho excessivo em cidades pode ser bastante alto,1,,363
125.0,,Controle,Baixa,Silêncio completo é a total ausência de qualquer som,1,,364
126.0,,Controle,Baixa,"Para caminhar, as pessoas utilizam principalmente as suas pernas",1,,365
127.0,,Controle,Baixa,Correr é uma forma de movimento geralmente mais rápida,1,,366
128.0,,Controle,Baixa,Um sorriso espontâneo geralmente expressa um sentimento de alegria,1,,367
129.0,,Controle,Baixa,As lágrimas que saem dos olhos têm sabor salgado,1,,368
130.0,,Controle,Baixa,As férias escolares são um período esperado de descanso,1,,369
131.0,,Controle,Baixa,Os fins de semana no Brasil geralmente têm dois dias,1,,370
132.0,,Controle,Baixa,"O dia completo, incluindo noite, normalmente tem 24 horas",1,,371
133.0,,Controle,Baixa,O relógio é um instrumento utilizado para marcar as horas,1,,372
134.0,,Controle,Baixa,Anos bissextos ocorrem a cada quatro anos e têm um dia a mais,1,,373
135.0,,Controle,Baixa,As quatro estações do ano se sucedem de forma cíclica,1,,374
136.0,,Controle,Baixa,O presente é o tempo que está acontecendo neste agora,1,,375
137.0,,Controle,Baixa,O passado é o tempo que já aconteceu e não volta,1,,376
138.0,,Controle,Baixa,O futuro é o tempo que ainda vai acontecer adiante,1,,377
139.0,,Controle,Baixa,Amanhã será o dia que vem logo depois de hoje,1,,378
140.0,,Controle,Baixa,Ontem foi o dia que veio imediatamente antes de hoje,1,,379
141.0,,Controle,Baixa,O Brasil é um país localizado na América do Sul,1,,380
142.0,,Controle,Baixa,A capital de um país é geralmente uma cidade importante,1,,381
143.0,,Controle,Baixa,Oceanos imensos cobrem a maior parte da superfície da Terra,1,,382
144.0,,Controle,Baixa,Aeroportos são grandes locais que servem para pouso de aviões,1,,383
145.0,,Controle,Baixa,Restaurantes são estabelecimentos comerciais que servem variadas comidas,1,,384
146.0,,Controle,Baixa,Hospitais bem equipados tratam de pessoas doentes ou feridas,1,,385
147.0,,Controle,Baixa,Escolas são instituições de ensino que educam crianças e jovens,1,,386
148.0,,Controle,Baixa,Livrarias são lojas especializadas que vendem diferentes tipos de livros,1,,387
149.0,,Controle,Baixa,Ruas e avenidas são vias usadas para o transporte de veículos,1,,388
150.0,,Controle,Baixa,Sapos são animais que conseguem pular distâncias bem grandes,1,,389
151.0,,Controle,Baixa,Cães são animais conhecidos por botarem ovos coloridos,0,,390
152.0,,Controle,Baixa,O papel usado em livros é geralmente feito de metal,0,,391
153.0,,Controle,Baixa,O Natal é uma festa celebrada para marcar o fim do verão,0,,392
154.0,,Controle,Baixa,Todos os tipos de pássaros são completamente incapazes de voar,0,,393
155.0,,Controle,Baixa,As abelhas são insetos conhecidos por produzir fios de seda,0,,394
156.0,,Controle,Baixa,Cavalos em fazendas fazem o som característico de mugir,0,,395
157.0,,Controle,Baixa,"O Ano Novo é uma festa comemorada no meio do ano, em julho",0,,396
158.0,,Controle,Baixa,Tubarões são considerados animais terrestres que vivem em árvores,0,,397
159.0,,Controle,Baixa,O algodão usado em roupas geralmente vem de animais peludos,0,,398
160.0,,Controle,Baixa,A Páscoa é uma celebração que envolve o uso de fantasias assustadoras,0,,399
161.0,,Controle,Baixa,Elefantes são grandes animais conhecidos pela sua capacidade de voar,0,,400
162.0,,Controle,Baixa,O vidro utilizado em janelas é geralmente um material opaco,0,,401
163.0,,Controle,Baixa,O Dia das Mães é uma data comemorada sempre no final do ano,0,,402
164.0,,Controle,Baixa,Macacos são animais que costumam viver no fundo do mar,0,,403
165.0,,Controle,Baixa,O sal de cozinha é conhecido por ter um sabor muito doce,0,,404
166.0,,Controle,Baixa,O outono é a estação do ano que vem antes do verão,0,,405
167.0,,Controle,Baixa,Pinguins são aves que preferem viver em desertos muito quentes,0,,406
168.0,,Controle,Baixa,A borracha de pneus é um material comestível e muito saboroso,0,,407
169.0,,Controle,Baixa,O Halloween é uma festa popular celebrada no mês de janeiro,0,,408
170.0,,Controle,Baixa,Sapos são animais conhecidos por emitirem latidos altos,0,,409
171.0,,Controle,Baixa,O carvão mineral é conhecido por ser muito macio e flexível,0,,410
172.0,,Controle,Baixa,O Dia do Trabalho é um feriado celebrado usualmente em dezembro,0,,411
173.0,,Controle,Baixa,Tigres são animais conhecidos por não possuírem listras,0,,412
174.0,,Controle,Baixa,Gasolina de carro é um combustível extraído de plantas como a laranjeira,0,,413
175.0,,Controle,Baixa,Zebras são facilmente reconhecidas pelas suas manchas coloridas,0,,414
176.0,,Controle,Baixa,O mel que consumimos é um produto feito por formigas,0,,415
177.0,,Controle,Baixa,O verão é uma estação do ano caracterizada por ser fria,0,,416
178.0,,Controle,Baixa,Lobos são animais selvagens que preferem viver completamente solitários,0,,417
179.0,,Controle,Baixa,A lã usada em agasalhos normalmente vem de escamas de peixes,0,,418
180.0,,Controle,Baixa,O Dia dos Pais é uma data comemorada no início do ano,0,,419
181.0,,Controle,Baixa,Corujas são aves que têm o hábito de dormir à noite,0,,420
182.0,,Controle,Baixa,O papel comum dos cadernos é um material totalmente indestrutível,0,,421
183.0,,Controle,Baixa,Aniversários de pessoas são sempre feriados nacionais para todos,0,,422
184.0,,Controle,Baixa,Chimpanzés são animais conhecidos por construírem grandes ninhos no mar,0,,423
185.0,,Controle,Baixa,O chocolate que comemos é um doce que vem de pedras,0,,424
186.0,,Controle,Baixa,Os feriados nacionais ocorrem sempre em dias úteis da semana,0,,425
187.0,,Controle,Baixa,Esquilos são roedores que conseguem nadar de forma muito rápida,0,,426
188.0,,Controle,Baixa,As borboletas são insetos conhecidos por produzir muita cera,0,,427
189.0,,Controle,Baixa,Leões são grandes animais que comem apenas folhas e plantas,0,,428
190.0,,Controle,Baixa,O Natal é uma celebração comemorada tradicionalmente no mês de agosto,0,,429
191.0,,Controle,Baixa,Todos os tipos de pássaros constroem seus ninhos no chão,0,,430
192.0,,Controle,Baixa,Cavalos são animais que fazem o som de miar frequentemente,0,,431
193.0,,Controle,Baixa,A abelha-rainha é a principal responsável por produzir todo o mel,0,,432
194.0,,Controle,Baixa,Ursos polares são animais que vivem em desertos muito quentes,0,,433
195.0,,Controle,Baixa,O açúcar refinado é conhecido por ter um sabor muito amargo,0,,434
196.0,,Controle,Baixa,O Dia das Crianças no Brasil é comemorado em janeiro,0,,435
197.0,,Controle,Baixa,Pinguins são aves que vivem tipicamente em selvas tropicais quentes,0,,436
198.0,,Controle,Baixa,A borracha usada em pneus geralmente vem de animais marinhos,0,,437
199.0,,Controle,Baixa,O Halloween é uma festa popular que ocorre em 1º de abril,0,,438
200.0,,Controle,Baixa,Sapos são animais que emitem sons como latidos e miados,0,,439
201.0,,Controle,Baixa,O carvão é uma substância que costuma flutuar na água como uma boia,0,,440
202.0,,Controle,Baixa,O Dia do Trabalho é um feriado importante celebrado em agosto,0,,441
203.0,,Controle,Baixa,Tigres são animais conhecidos por se alimentarem exclusivamente de frutas,0,,442
204.0,,Controle,Baixa,O óleo de cozinha comum é conhecido por ser duro como pedra,0,,443
205.0,,Controle,Baixa,"As zebras selvagens são animais completamente pretos, sem nenhuma listra",0,,444
206.0,,Controle,Baixa,O mel adocicado é um alimento produzido naturalmente por vespas,0,,445
207.0,,Controle,Baixa,O verão é uma estação climática chuvosa em todas as partes do mundo,0,,446
208.0,,Controle,Baixa,Lobos selvagens vivem em tocas subterrâneas durante o ano todo,0,,447
209.0,,Controle,Baixa,A lã macia e quente geralmente vem da pelagem de coelhos,0,,448
210.0,,Controle,Baixa,O Dia dos Pais no Brasil é comemorado oficialmente em setembro,0,,449
211.0,,Controle,Baixa,Chimpanzés são primatas que pertencem ao grupo das aves voadoras,0,,450
212.0,,Controle,Baixa,O chocolate tradicional é um doce feito a partir de algas marinhas,0,,451
213.0,,Controle,Baixa,Feriados nacionais são considerados dias úteis de trabalho normal,0,,452
214.0,,Controle,Baixa,Girafas são conhecidas por serem animais que se movem rastejando,0,,453
215.0,,Controle,Baixa,Sapatos confortáveis são usados principalmente para proteger bem as mãos,0,,454
216.0,,Controle,Baixa,Pinguins são aves que vivem exclusivamente na região do Ártico,0,,455
217.0,,Controle,Baixa,Relógios de pulso modernos são usados principalmente para cozinhar alimentos,0,,456
218.0,,Controle,Baixa,Crocodilos são animais dóceis que comem apenas capim e folhas,0,,457
219.0,,Controle,Baixa,O papel sulfite comum é feito utilizando vidro derretido e resfriado,0,,458
220.0,,Controle,Baixa,Canetas esferográficas são usadas principalmente para se comer sopa quente,0,,459
221.0,,Controle,Baixa,Peixes são animais que costumam construir seus ninhos em árvores,0,,460
222.0,,Controle,Baixa,Galinhas poedeiras são criadas porque produzem fios de lã macia,0,,461
223.0,,Controle,Baixa,As cobras são animais conhecidos por terem duas pequenas pernas,0,,462
224.0,,Controle,Baixa,Aranhas domésticas são famosas porque põem ovos feitos de ouro,0,,463
225.0,,Controle,Baixa,Borboletas adultas se locomovem principalmente rastejando pelo chão,0,,464
226.0,,Controle,Baixa,Formigas são pequenos animais que podem atingir tamanhos gigantescos,0,,465
227.0,,Controle,Baixa,Pássaros são conhecidos por terem uma boca cheia de pelos macios,0,,466
228.0,,Controle,Baixa,Coelhos domésticos são animais que comem apenas pedaços de carne,0,,467
229.0,,Controle,Baixa,Ratos comuns são pequenos animais que conseguem voar rapidamente,0,,468
230.0,,Controle,Baixa,Gatos emitem um som alto e forte chamado coaxar,0,,469
231.0,,Controle,Baixa,Árvores de grande porte costumam mudar de lugar durante a noite,0,,470
232.0,,Controle,Baixa,As árvores em crescimento direcionam suas raízes sempre para baixo,0,,471
233.0,,Controle,Baixa,Todas as flores coloridas normalmente cheiram forte a alho fresco,0,,472
234.0,,Controle,Baixa,Cogumelos comestíveis são frutas saborosas que crescem em árvores altas,0,,473
235.0,,Controle,Baixa,"Minhocas possuem olhos grandes, redondos e muito brilhantes",0,,474
236.0,,Controle,Baixa,As girafas são animais conhecidos por terem orelhas bem curtas,0,,475
237.0,,Controle,Baixa,O arroz que comemos geralmente cresce no alto de árvores altas,0,,476
238.0,,Controle,Baixa,Os peixes são animais aquáticos que geralmente têm pelos macios,0,,477
239.0,,Controle,Baixa,Macacos são animais aquáticos que vivem nadando em grandes rios,0,,478
240.0,,Controle,Baixa,Abelhas são insetos que têm o hábito de comer madeira,0,,479
241.0,,Controle,Baixa,O sol que vemos no céu é de uma cor azulada,0,,480
242.0,,Controle,Baixa,"A água da torneira, quando aquecida, é geralmente mais quente que fogo",0,,481
243.0,,Controle,Baixa,O fogo de uma fogueira é conhecido por ser muito gelado,0,,482
244.0,,Controle,Baixa,Cadeiras confortáveis para sentar são geralmente feitas de nuvens,0,,483
245.0,,Controle,Baixa,Canetas coloridas servem como ferramenta principal para regar diversas plantas,0,,484
246.0,,Controle,Baixa,Tesouras com ponta são usadas por crianças para escovar os dentes,0,,485
247.0,,Controle,Baixa,Lâmpadas acesas em casa funcionam melhor se estiverem totalmente molhadas,0,,486
248.0,,Controle,Baixa,Martelos de carpinteiro são ferramentas feitas de algodão muito macio,0,,487
249.0,,Controle,Baixa,Mesas de jantar são móveis usados para as pessoas dormirem debaixo,0,,488
250.0,,Controle,Baixa,Copos de plástico ou vidro são usados para se calçar os pés,0,,489
251.0,,Controle,Baixa,Livros com muitas páginas são considerados alimentos bastante comestíveis,0,,490
252.0,,Controle,Baixa,Escadas de madeira ou metal são usadas por pessoas para mergulhar,0,,491
253.0,,Controle,Baixa,O sabão de banho é um produto feito para endurecer a pele,0,,492
254.0,,Controle,Baixa,Carros populares são veículos movidos exclusivamente pela força do vento,0,,493
255.0,,Controle,Baixa,Janelas de vidro em casas são usadas para se guardar objetos,0,,494
256.0,,Controle,Baixa,Moedas utilizadas como dinheiro são normalmente feitas de papel fino,0,,495
257.0,,Controle,Baixa,Luvas de inverno ou de cozinha são usadas para proteger os pés,0,,496
258.0,,Controle,Baixa,Balões de festa cheios de ar sempre afundam rapidamente na água,0,,497
259.0,,Controle,Baixa,Chaves de metal para portas são usadas por pescadores para pescar,0,,498
260.0,,Controle,Baixa,Espelhos comuns de banheiro tornam as coisas totalmente invisíveis,0,,499
261.0,,Controle,Baixa,As pessoas conseguem voar alto apenas batendo os próprios braços,0,,500
262.0,,Controle,Baixa,"O sol, nossa estrela principal, costuma nascer durante a noite escura",0,,501
263.0,,Controle,Baixa,A sombra projetada de um objeto é sempre mais clara que a luz,0,,502
264.0,,Controle,Baixa,As pessoas saudáveis normalmente dormem mantendo os olhos bem abertos,0,,503
265.0,,Controle,Baixa,A maioria das pessoas costuma usar sapatos para proteger as mãos,0,,504
266.0,,Controle,Baixa,A chuva forte de verão é água que sobe para o céu,0,,505
267.0,,Controle,Baixa,O vento forte que sopra é sempre um fenômeno completamente silencioso,0,,506
268.0,,Controle,Baixa,A voz humana normal é um som totalmente inaudível aos ouvidos,0,,507
269.0,,Controle,Baixa,Bebês recém-nascidos já conseguem falar fluentemente algumas palavras,0,,508
270.0,,Controle,Baixa,Crianças pequenas são responsáveis por construir grandes casas e edifícios,0,,509
271.0,,Controle,Baixa,Adultos formados frequentam a escola primária todos os dias da semana,0,,510
272.0,,Controle,Baixa,As estrelas que vemos no céu noturno têm formato de cubos,0,,511
273.0,,Controle,Baixa,"A Lua, satélite da Terra, é um astro feito de queijo",0,,512
274.0,,Controle,Baixa,A fumaça escura de queimadas geralmente afunda em direção ao chão,0,,513
275.0,,Controle,Baixa,Todo tipo de barulho alto é sempre muito calmante e relaxante,0,,514
276.0,,Controle,Baixa,Silêncio absoluto significa a presença de muitos e variados sons,0,,515
277.0,,Controle,Baixa,"Para caminhar longas distâncias, as pessoas usam principalmente os braços",0,,516
278.0,,Controle,Baixa,Correr longas distâncias é uma forma de exercício muito lento,0,,517
279.0,,Controle,Baixa,O choro com muitas lágrimas geralmente expressa um sentimento de alegria,0,,518
280.0,,Controle,Baixa,O suor que eliminamos do corpo tem um sabor adocicado,0,,519
281.0,,Controle,Baixa,As férias de verão são um período de trabalho muito intenso,0,,520
282.0,,Controle,Baixa,Os fins de semana no calendário geralmente têm cinco dias seguidos,0,,521
283.0,,Controle,Baixa,Um dia completo na Terra tem a duração de dez horas,0,,522
284.0,,Controle,Baixa,O relógio de parede ou pulso marca as diferentes estações do ano,0,,523
285.0,,Controle,Baixa,"Anos bissextos, que ocorrem periodicamente, têm sempre menos um dia",0,,524
286.0,,Controle,Baixa,As quatro estações do ano são idênticas em todas as partes do planeta,0,,525
287.0,,Controle,Baixa,O tempo presente é aquele que ainda vai acontecer no futuro,0,,526
288.0,,Controle,Baixa,O tempo passado é aquele que ainda está acontecendo neste momento,0,,527
289.0,,Controle,Baixa,O tempo futuro é aquele que já aconteceu há muitos anos,0,,528
290.0,,Controle,Baixa,O dia de amanhã é o dia que veio antes de ontem,0,,529
291.0,,Controle,Baixa,O dia de ontem é o dia que virá depois de amanhã,0,,530
292.0,,Controle,Baixa,O Brasil é conhecido por ser uma pequena ilha localizada na Europa,0,,531
293.0,,Controle,Baixa,As capitais dos países são sempre consideradas pequenas e simples vilas,0,,532
294.0,,Controle,Baixa,"O Sol, nossa estrela, costuma girar em torno da Lua todos os dias",0,,533
295.0,,Controle,Baixa,Aeroportos modernos são locais especialmente construídos para as pessoas nadarem,0,,534
296.0,,Controle,Baixa,Restaurantes sofisticados são estabelecimentos que geralmente vendem carros novos,0,,535
297.0,,Controle,Baixa,Hospitais são grandes lugares construídos para as pessoas se divertirem,0,,536
298.0,,Controle,Baixa,Escolas e colégios são lugares destinados para as pessoas dormirem,0,,537
299.0,,Controle,Baixa,Livrarias populares são lojas especializadas que vendem muitos carros usados,0,,538
300.0,,Controle,Baixa,Ruas e estradas são vias usadas para se plantar grandes árvores,0,,539
,,MatCon,,"A palavra Casa, tem mais sílabas que Janela",0,0.0,540
,,MatCon,,"A palavra FITA, tem menos sílabas que presente",1,0.0,541
,,MatCon,,"A palavra Cachorro, tem mais sílabas que Cadeira",0,0.0,542
,,MatCon,,"A palavra Estrela, tem mais sílabas que Terra",1,0.0,543
,,MatCon,,"A palavra babá, tem menos sílabas que janela",1,0.0,544
,,MatCon,,"A palavra livro, tem mais sílabas que caderno",0,0.0,545
,,MatCon,,"A palavra Lápis, tem menos sílabas que menina",1,0.0,546
,,MatCon,,"A palavra Alegria, tem menos sílabas que papel",0,0.0,547
,,MatCon,,"A palavra Computador, tem mais sílabas que Telefone",0,0.0,548
,,MatCon,,"A palavra cola, tem menos sílabas que a palavra Emprego",1,0.0,549
,,MatCon,,"A palavra História, tem menos sílabas que Relógio",0,0.0,550
,,MatCon,,"A palavra Amigo, tem mais sílabas que a palavra Amor",1,0.0,551
,,MatCon,,"A palavra Elefante, tem menos sílabas que a palavra Girafa",0,0.0,552
,,MatCon,,"A palavra Rápido, tem menos sílabas que vento",0,0.0,553
,,MatCon,,"A palavra Coração, tem menos sílabas que pilha",0,0.0,554
,,MatCon,,"A palavra Criativo, tem menos sílabas que irmão",0,0.0,555
,,MatCon,,"A palavra Professor, tem menos sílabas que Aluno",0,0.0,556
,,MatCon,,"A palavra Colher, tem mais sílabas que SAPO",0,0.0,557
,,MatCon,,"A palavra Sol, tem menos sílabas que protetor",1,0.0,558
,,MatCon,,"A palavra Dedo, tem mais sílabas que dado",0,0.0,559
,,MatCon,,"A palavra RALO, tem menos sílabas que ARVORE",1,0.0,560
,,MatCon,,"A palavra Gato, tem mais sílabas que Salada",0,0.0,561
,,MatCon,,"A palavra ARCO-ÍRIS, tem mais sílabas que Nuvem",1,0.0,562
,,MatCon,,"A palavra Amarelo, tem menos sílabas que Verde",0,0.0,563
,,MatCon,,"A palavra Laranja, tem mais sílabas que Lilás",1,0.0,564
,,MatCon,,"A palavra Doce, tem menos sílabas que Anjo",0,0.0,565
,,MatCon,,"A palavra Namorado, tem mais sílabas que Casa",1,0.0,566
,,MatCon,,"A palavra Véu, tem menos sílabas que Catedral",1,0.0,567
,,MatCon,,"A palavra Mar, tem mais sílabas que Peixe",0,0.0,568
,,MatCon,,"A palavra Palestra, tem menos sílabas que Lua",0,0.0,569
,,MatCon,,"A palavra Banana, tem mais sílabas que Ferramenta",0,0.0,570
,,MatCon,,"A palavra Boneca, tem a mais sílabas que Ilha",1,0.0,571
,,MatCon,,"A palavra Brilhante, tem mais sílabas que brilho",1,0.0,572
,,MatCon,,"A palavra Computador, tem mais sílabas que Tinta",1,0.0,573
,,MatCon,,"A palavra pato, tem mais sílabas que bola",0,0.0,574
,,MatCon,,"A palavra gato, tem mais sílabas que mesa",0,0.0,575
,,MatCon,,"A palavra janela, tem mais sílabas que porta",1,0.0,576
,,MatCon,,"A palavra família, tem mais sílabas que fé",1,0.0,577
,,MatCon,,"A palavra sol, tem mais sílabas que pai",0,0.0,578
